classification,Avg Closed PnL,Total Closed PnL,Avg Size USD,Total Size USD,Trade Count,Side Distribution
Extreme Fear,47.44630214581408,256731.94091099998,3816.4400979486236,20650757.37,5411,"{'SELL': 0.5396414710774349, 'BUY': 0.4603585289225651}"
Extreme Greed,73.14403028924491,2515642.633738,3265.794509929346,112320470.58,34393,"{'SELL': 0.5606082633093944, 'BUY': 0.43939173669060566}"
Fear,56.54471991091619,2675413.422585,7153.41471668604,338463817.32,47315,"{'BUY': 0.5004966712459051, 'SELL': 0.4995033287540949}"
Greed,35.652183988905385,1728845.70599,5848.453393343231,283603201.95,48492,"{'SELL': 0.5024333910748164, 'BUY': 0.49756660892518356}"
Neutral,31.74647035154748,1023696.682956,4641.5002744526455,149669817.85,32246,"{'SELL': 0.514265335235378, 'BUY': 0.48573466476462196}"
